puzzle,tie-breaking method,heuristic function,#expirement,#expand nodes,time per node,#ties,#steps in solution,overall time,#second ties,#nodes in memory
4.a,LIFO,linear_conflicts,0,15701,0.002277303,15770,41,35.75592817,0,30158
4.b,LIFO,linear_conflicts,0,41076,0.006017056,41183,44,247.1566079,0,79149
4.c,LIFO,linear_conflicts,0,1511,0.000346751,1505,36,0.523940437,0,3041
4.d,LIFO,linear_conflicts,0,369,0.00021246,365,31,0.078397736,0,765
4.e,LIFO,linear_conflicts,0,5251,0.000853447,5268,34,4.481448896,0,10477
4.a,LIFO,linear_conflicts,1,15701,0.002296254,15770,41,36.05347809,0,30158
4.b,LIFO,linear_conflicts,1,41076,0.005972526,41183,44,245.3274589,0,79149
4.c,LIFO,linear_conflicts,1,1511,0.00034733,1505,36,0.524815269,0,3041
4.d,LIFO,linear_conflicts,1,369,0.000210848,365,31,0.077802926,0,765
4.e,LIFO,linear_conflicts,1,5251,0.000854142,5268,34,4.485097826,0,10477
4.a,LIFO,linear_conflicts,2,15701,0.002330814,15770,41,36.59610853,0,30158
4.b,LIFO,linear_conflicts,2,41076,0.005954366,41183,44,244.5815499,0,79149
4.c,LIFO,linear_conflicts,2,1511,0.000348494,1505,36,0.526573852,0,3041
4.d,LIFO,linear_conflicts,2,369,0.000311928,365,31,0.115101539,0,765
4.e,LIFO,linear_conflicts,2,5251,0.000855512,5268,34,4.492295414,0,10477
4.a,FIFO,linear_conflicts,0,29427,0.003510216,29671,41,103.2951189,0,56331
4.b,FIFO,linear_conflicts,0,90398,0.01110976,90881,44,1004.300114,0,173336
4.c,FIFO,linear_conflicts,0,2470,0.000457371,2469,36,1.129706375,0,4975
4.d,FIFO,linear_conflicts,0,748,0.000248982,743,31,0.186238781,0,1537
4.e,FIFO,linear_conflicts,0,7111,0.001029141,7137,34,7.318221651,0,14119
4.a,FIFO,linear_conflicts,1,29427,0.003542329,29671,41,104.240113,0,56331
4.b,FIFO,linear_conflicts,1,90398,0.01144257,90881,44,1034.385407,0,173336
4.c,FIFO,linear_conflicts,1,2470,0.000456579,2469,36,1.127750449,0,4975
4.d,FIFO,linear_conflicts,1,748,0.000249648,743,31,0.18673671,0,1537
4.e,FIFO,linear_conflicts,1,7111,0.001025014,7137,34,7.288875997,0,14119
4.a,FIFO,linear_conflicts,2,29427,0.003564031,29671,41,104.8787485,0,56331
4.b,FIFO,linear_conflicts,2,90398,0.011121022,90881,44,1005.318144,0,173336
4.c,FIFO,linear_conflicts,2,2470,0.000501342,2469,36,1.238314845,0,4975
4.d,FIFO,linear_conflicts,2,748,0.00025081,743,31,0.187606201,0,1537
4.e,FIFO,linear_conflicts,2,7111,0.001080786,7137,34,7.685466364,0,14119
4.a,H-LIFO,linear_conflicts,0,8493,0.00143617,8549,41,12.19739477,3478,16461
4.b,H-LIFO,linear_conflicts,0,21550,0.002745378,21643,44,59.16290537,8702,41758
4.c,H-LIFO,linear_conflicts,0,366,0.00020443,358,36,0.074821271,99,759
4.d,H-LIFO,linear_conflicts,0,134,0.000177544,130,31,0.023790918,30,276
4.e,H-LIFO,linear_conflicts,0,1899,0.000414002,1898,34,0.786190405,815,3825
4.a,H-LIFO,linear_conflicts,1,8493,0.00134266,8549,41,11.40321389,3478,16461
4.b,H-LIFO,linear_conflicts,1,21550,0.002594937,21643,44,55.92088791,8702,41758
4.c,H-LIFO,linear_conflicts,1,366,0.000206055,358,36,0.075416312,99,759
4.d,H-LIFO,linear_conflicts,1,134,0.000211951,130,31,0.028401442,30,276
4.e,H-LIFO,linear_conflicts,1,1899,0.00041395,1898,34,0.786090262,815,3825
4.a,H-LIFO,linear_conflicts,2,8493,0.001341776,8549,41,11.39570672,3478,16461
4.b,H-LIFO,linear_conflicts,2,21550,0.002659315,21643,44,57.30823234,8702,41758
4.c,H-LIFO,linear_conflicts,2,366,0.000202491,358,36,0.074111797,99,759
4.d,H-LIFO,linear_conflicts,2,134,0.000178526,130,31,0.023922466,30,276
4.e,H-LIFO,linear_conflicts,2,1899,0.000412346,1898,34,0.78304483,815,3825
4.a,H-FIFO,linear_conflicts,0,8254,0.001302227,8310,41,10.74858537,3365,15996
4.b,H-FIFO,linear_conflicts,0,21549,0.002584529,21640,44,55.69402452,8721,41756
4.c,H-FIFO,linear_conflicts,0,366,0.0002015,361,36,0.073749058,99,759
4.d,H-FIFO,linear_conflicts,0,132,0.000177729,123,31,0.023460291,30,272
4.e,H-FIFO,linear_conflicts,0,1880,0.00040609,1866,34,0.763449647,805,3781
4.a,H-FIFO,linear_conflicts,1,8254,0.001279464,8310,41,10.56069867,3365,15996
4.b,H-FIFO,linear_conflicts,1,21549,0.002578462,21640,44,55.56328047,8721,41756
4.c,H-FIFO,linear_conflicts,1,366,0.000201217,361,36,0.07364554,99,759
4.d,H-FIFO,linear_conflicts,1,132,0.000177761,123,31,0.023464508,30,272
4.e,H-FIFO,linear_conflicts,1,1880,0.000406323,1866,34,0.763887636,805,3781
4.a,H-FIFO,linear_conflicts,2,8254,0.001277565,8310,41,10.54501777,3365,15996
4.b,H-FIFO,linear_conflicts,2,21549,0.002607718,21640,44,56.19372487,8721,41756
4.c,H-FIFO,linear_conflicts,2,366,0.000259287,361,36,0.094899133,99,759
4.d,H-FIFO,linear_conflicts,2,132,0.00017809,123,31,0.023507863,30,272
4.e,H-FIFO,linear_conflicts,2,1880,0.000405373,1866,34,0.762100801,805,3781
4.a,H-G,linear_conflicts,0,8241,0.001278406,8296,41,10.53534459,3360,15955
4.b,H-G,linear_conflicts,0,21551,0.002599925,21642,44,56.03098463,8720,41760
4.c,H-G,linear_conflicts,0,364,0.000203224,359,36,0.073973648,99,755
4.d,H-G,linear_conflicts,0,134,0.000179129,125,31,0.02400326,30,276
4.e,H-G,linear_conflicts,0,1873,0.000405081,1859,34,0.758716822,797,3773
4.a,H-G,linear_conflicts,1,8241,0.001275215,8296,41,10.5090434,3360,15955
4.b,H-G,linear_conflicts,1,21551,0.002855861,21642,44,61.54665485,8720,41760
4.c,H-G,linear_conflicts,1,364,0.000253649,359,36,0.092328399,99,755
4.d,H-G,linear_conflicts,1,134,0.000224262,125,31,0.030051157,30,276
4.e,H-G,linear_conflicts,1,1873,0.000444097,1859,34,0.831793301,797,3773
4.a,H-G,linear_conflicts,2,8241,0.001274265,8296,41,10.50122116,3360,15955
4.b,H-G,linear_conflicts,2,21551,0.00258306,21642,44,55.66752376,8720,41760
4.c,H-G,linear_conflicts,2,364,0.000203434,359,36,0.074049912,99,755
4.d,H-G,linear_conflicts,2,134,0.000179416,125,31,0.02404169,30,276
4.e,H-G,linear_conflicts,2,1873,0.00040435,1859,34,0.75734739,797,3773
4.a,G-H,linear_conflicts,0,29429,0.003812686,29417,41,112.2035363,29311,56334
4.b,G-H,linear_conflicts,0,96461,0.012325246,96448,44,1188.905581,96306,184209
4.c,G-H,linear_conflicts,0,2616,0.000486192,2613,36,1.27187939,2553,5274
4.d,G-H,linear_conflicts,0,803,0.000264084,794,31,0.212059744,753,1647
4.e,G-H,linear_conflicts,0,7120,0.00109331,7108,34,7.784365721,7031,14133
4.a,G-H,linear_conflicts,1,29429,0.003980804,29417,41,117.1510838,29311,56334
4.b,G-H,linear_conflicts,1,96461,0.012628273,96448,44,1218.13586,96306,184209
4.c,G-H,linear_conflicts,1,2616,0.000486443,2613,36,1.272533998,2553,5274
4.d,G-H,linear_conflicts,1,803,0.000263878,794,31,0.211893901,753,1647
4.e,G-H,linear_conflicts,1,7120,0.001089369,7108,34,7.756307662,7031,14133
4.a,G-H,linear_conflicts,2,29429,0.003753319,29417,41,110.4564331,29311,56334
4.b,G-H,linear_conflicts,2,96461,0.012418573,96448,44,1197.908013,96306,184209
4.c,G-H,linear_conflicts,2,2616,0.000493044,2613,36,1.289801829,2553,5274
4.d,G-H,linear_conflicts,2,803,0.000264148,794,31,0.212111056,753,1647
4.e,G-H,linear_conflicts,2,7120,0.001097123,7108,34,7.811512597,7031,14133
4.a,RANDOM,linear_conflicts,0,29371,0.003212353,29610,41,94.35002795,0,56227
4.b,RANDOM,linear_conflicts,0,80350,0.009068637,80842,44,728.6650207,0,155337
4.c,RANDOM,linear_conflicts,0,1976,0.00041151,1976,36,0.813143976,0,4003
4.d,RANDOM,linear_conflicts,0,651,0.000233933,642,31,0.152290337,0,1333
4.e,RANDOM,linear_conflicts,0,7076,0.000955822,7106,34,6.763394363,0,14052
4.a,RANDOM,linear_conflicts,1,29089,0.003180541,29323,41,92.51875552,0,55704
4.b,RANDOM,linear_conflicts,1,88703,0.009961114,89195,44,883.5806815,0,170357
4.c,RANDOM,linear_conflicts,1,2491,0.00045561,2491,36,1.134923913,0,5010
4.d,RANDOM,linear_conflicts,1,763,0.000247356,761,31,0.188732617,0,1568
4.e,RANDOM,linear_conflicts,1,7091,0.000988127,7115,34,7.006808929,0,14076
4.a,RANDOM,linear_conflicts,2,29238,0.003209356,29463,41,93.83515385,0,55992
4.b,RANDOM,linear_conflicts,2,88699,0.01003466,89182,44,890.0643092,0,170401
4.c,RANDOM,linear_conflicts,2,2536,0.000452088,2535,36,1.146496326,0,5099
4.d,RANDOM,linear_conflicts,2,646,0.00023487,638,31,0.151726283,0,1338
4.e,RANDOM,linear_conflicts,2,7102,0.000946534,7128,34,6.722282149,0,14097
4.a,H-RAND,linear_conflicts,0,8236,0.001278921,8282,41,10.53319219,3349,15950
4.b,H-RAND,linear_conflicts,0,21546,0.002594172,21639,44,55.89402274,8711,41749
4.c,H-RAND,linear_conflicts,0,366,0.000202539,360,36,0.074129164,99,759
4.d,H-RAND,linear_conflicts,0,132,0.000179758,130,31,0.023727991,30,272
4.e,H-RAND,linear_conflicts,0,1893,0.000413478,1892,34,0.782714359,808,3809
4.a,H-RAND,linear_conflicts,1,8237,0.001283727,8290,41,10.57406045,3348,15965
4.b,H-RAND,linear_conflicts,1,21550,0.002586183,21642,44,55.73225045,8712,41759
4.c,H-RAND,linear_conflicts,1,364,0.00020371,356,36,0.074150287,99,755
4.d,H-RAND,linear_conflicts,1,132,0.000179365,130,31,0.023676202,30,272
4.e,H-RAND,linear_conflicts,1,1903,0.000415467,1900,34,0.790632971,816,3833
4.a,H-RAND,linear_conflicts,2,8223,0.001272602,8286,41,10.46460893,3339,15941
4.b,H-RAND,linear_conflicts,2,21546,0.002584415,21640,44,55.68379848,8712,41747
4.c,H-RAND,linear_conflicts,2,364,0.000202688,360,36,0.073778436,99,755
4.d,H-RAND,linear_conflicts,2,132,0.000180366,120,31,0.023808315,30,272
4.e,H-RAND,linear_conflicts,2,1906,0.000416273,1907,34,0.79341571,818,3837
4.a,DEPTH-L,linear_conflicts,0,29141,0.003643304,29353,41,106.169525,26133,55796
4.b,DEPTH-L,linear_conflicts,0,85548,0.01137287,86049,44,972.926288,74949,164680
4.c,DEPTH-L,linear_conflicts,0,2370,0.000480141,2369,36,1.137933843,1988,4771
4.d,DEPTH-L,linear_conflicts,0,728,0.000255249,724,31,0.185821474,611,1501
4.e,DEPTH-L,linear_conflicts,0,7114,0.001066778,7143,34,7.589058325,6297,14122
4.a,DEPTH-L,linear_conflicts,1,29418,0.003692302,29620,41,108.6201528,26389,56312
4.b,DEPTH-L,linear_conflicts,1,83508,0.011180371,84007,44,933.6503901,73325,160917
4.c,DEPTH-L,linear_conflicts,1,2596,0.000491402,2594,36,1.275680661,2183,5234
4.d,DEPTH-L,linear_conflicts,1,761,0.000257211,756,31,0.195737824,641,1563
4.e,DEPTH-L,linear_conflicts,1,7103,0.001066595,7132,34,7.576027475,6293,14099
4.a,DEPTH-L,linear_conflicts,2,29114,0.003643729,29340,41,106.0835239,26155,55774
4.b,DEPTH-L,linear_conflicts,2,85471,0.011211223,85969,44,958.2344499,74931,164483
4.c,DEPTH-L,linear_conflicts,2,2440,0.000493931,2434,36,1.205192082,2039,4928
4.d,DEPTH-L,linear_conflicts,2,749,0.000281259,742,31,0.210663259,626,1535
4.e,DEPTH-L,linear_conflicts,2,7028,0.00107019,7059,34,7.521295339,6232,13951
4.a,DEPTH-F,linear_conflicts,0,17717,0.0025325,17891,41,44.86830591,15322,34222
4.b,DEPTH-F,linear_conflicts,0,50847,0.007516005,51147,44,382.1663296,43649,100317
4.c,DEPTH-F,linear_conflicts,0,970,0.000374458,965,36,0.363224097,746,1985
4.d,DEPTH-F,linear_conflicts,0,338,0.00024602,333,31,0.083154708,257,705
4.e,DEPTH-F,linear_conflicts,0,4139,0.000802593,4151,34,3.321930528,3508,8352
4.a,DEPTH-F,linear_conflicts,1,17751,0.002719409,17938,41,48.27222161,15374,34261
4.b,DEPTH-F,linear_conflicts,1,51205,0.007533039,51509,44,385.7292591,44068,100902
4.c,DEPTH-F,linear_conflicts,1,1002,0.000305211,1000,36,0.305821061,784,2050
4.d,DEPTH-F,linear_conflicts,1,340,0.000215685,335,31,0.073333032,261,709
4.e,DEPTH-F,linear_conflicts,1,4105,0.000778601,4117,34,3.196158342,3460,8281
4.a,DEPTH-F,linear_conflicts,2,17717,0.002545551,17915,41,45.09953513,15408,34168
4.b,DEPTH-F,linear_conflicts,2,48917,0.007155784,49213,44,350.0395079,41774,96536
4.c,DEPTH-F,linear_conflicts,2,981,0.000300789,973,36,0.295074344,753,2012
4.d,DEPTH-F,linear_conflicts,2,336,0.00021641,320,31,0.072713688,263,699
4.e,DEPTH-F,linear_conflicts,2,4189,0.000782808,4204,34,3.279181957,3548,8452
4.a,LIFO,manhattan,0,52360,0.00695616,52693,41,364.2245137,0,100250
4.b,LIFO,manhattan,0,76558,0.011397816,76799,44,872.59397,0,147807
4.c,LIFO,manhattan,0,5485,0.000678045,5482,36,3.719077699,0,10812
4.d,LIFO,manhattan,0,812,0.000143659,808,31,0.116650976,0,1649
4.e,LIFO,manhattan,0,11090,0.001540712,11150,34,17.08649312,0,22126
4.a,LIFO,manhattan,1,52360,0.006943579,52693,41,363.5658159,0,100250
4.b,LIFO,manhattan,1,76558,0.011262642,76799,44,862.2453471,0,147807
4.c,LIFO,manhattan,1,5485,0.000688507,5482,36,3.776461504,0,10812
4.d,LIFO,manhattan,1,812,0.000190781,808,31,0.154914327,0,1649
4.e,LIFO,manhattan,1,11090,0.001800735,11150,34,19.97015078,0,22126
4.a,LIFO,manhattan,2,52360,0.006915158,52693,41,362.0776627,0,100250
4.b,LIFO,manhattan,2,76558,0.011157095,76799,44,854.164888,0,147807
4.c,LIFO,manhattan,2,5485,0.000669004,5482,36,3.669484645,0,10812
4.d,LIFO,manhattan,2,812,0.000143586,808,31,0.116591871,0,1649
4.e,LIFO,manhattan,2,11090,0.001540711,11150,34,17.08648232,0,22126
4.a,FIFO,manhattan,0,79082,0.009478969,79620,41,749.6157888,0,150841
4.b,FIFO,manhattan,0,222639,0.039196036,223947,44,8726.56617,0,424005
4.c,FIFO,manhattan,0,6289,0.000806652,6291,36,5.073031843,0,12406
4.d,FIFO,manhattan,0,1223,0.000176663,1220,31,0.216059282,0,2476
4.e,FIFO,manhattan,0,15197,0.001870668,15305,34,28.42853519,0,30056
4.a,FIFO,manhattan,1,79082,0.009363092,79620,41,740.4520703,0,150841
4.b,FIFO,manhattan,1,222639,0.03981981,223947,44,8865.442725,0,424005
4.c,FIFO,manhattan,1,6289,0.000787655,6291,36,4.953559972,0,12406
4.d,FIFO,manhattan,1,1223,0.000176402,1220,31,0.215740018,0,2476
4.e,FIFO,manhattan,1,15197,0.001877363,15305,34,28.53028423,0,30056
4.a,FIFO,manhattan,2,79082,0.009358387,79620,41,740.0799463,0,150841
4.b,FIFO,manhattan,2,222639,0.040084865,223947,44,8924.454261,0,424005
4.c,FIFO,manhattan,2,6289,0.000832936,6291,36,5.238336094,0,12406
4.d,FIFO,manhattan,2,1223,0.000177479,1220,31,0.21705649,0,2476
4.e,FIFO,manhattan,2,15197,0.001924893,15305,34,29.2526057,0,30056
4.a,H-LIFO,manhattan,0,22594,0.003220981,22778,41,72.77484868,10080,43952
4.b,H-LIFO,manhattan,0,53363,0.006151892,53601,44,328.2834301,22507,103052
4.c,H-LIFO,manhattan,0,1139,0.000194461,1135,36,0.221490659,406,2270
4.d,H-LIFO,manhattan,0,235,9.59E-05,231,31,0.022525638,59,481
4.e,H-LIFO,manhattan,0,4002,0.000618311,4016,34,2.474478699,1722,8034
4.a,H-LIFO,manhattan,1,22594,0.003164888,22778,41,71.50747095,10080,43952
4.b,H-LIFO,manhattan,1,53363,0.006239609,53601,44,332.9642531,22507,103052
4.c,H-LIFO,manhattan,1,1139,0.000194281,1135,36,0.221285746,406,2270
4.d,H-LIFO,manhattan,1,235,6.69E-05,231,31,0.015713528,59,481
4.e,H-LIFO,manhattan,1,4002,0.000599473,4016,34,2.399088986,1722,8034
4.a,H-LIFO,manhattan,2,22594,0.003431647,22778,41,77.53464127,10080,43952
4.b,H-LIFO,manhattan,2,53363,0.006271695,53601,44,334.6764659,22507,103052
4.c,H-LIFO,manhattan,2,1139,0.00016897,1135,36,0.192457289,406,2270
4.d,H-LIFO,manhattan,2,235,6.73E-05,231,31,0.015820697,59,481
4.e,H-LIFO,manhattan,2,4002,0.000590661,4016,34,2.363825977,1722,8034
4.a,H-FIFO,manhattan,0,22189,0.003040304,22387,41,67.46129572,9900,43133
4.b,H-FIFO,manhattan,0,53387,0.00614703,53632,44,328.1714759,22543,103099
4.c,H-FIFO,manhattan,0,1148,0.00017157,1142,36,0.196962558,412,2290
4.d,H-FIFO,manhattan,0,244,6.95E-05,235,31,0.016958259,63,501
4.e,H-FIFO,manhattan,0,4019,0.000634155,4018,34,2.548666939,1742,8060
4.a,H-FIFO,manhattan,1,22189,0.00309687,22387,41,68.71643832,9900,43133
4.b,H-FIFO,manhattan,1,53387,0.00608897,53632,44,325.0718624,22543,103099
4.c,H-FIFO,manhattan,1,1148,0.000186593,1142,36,0.214208446,412,2290
4.d,H-FIFO,manhattan,1,244,9.41E-05,235,31,0.022967756,63,501
4.e,H-FIFO,manhattan,1,4019,0.000598382,4018,34,2.404895686,1742,8060
4.a,H-FIFO,manhattan,2,22189,0.0030423,22387,41,67.50560071,9900,43133
4.b,H-FIFO,manhattan,2,53387,0.006119665,53632,44,326.7105415,22543,103099
4.c,H-FIFO,manhattan,2,1148,0.000214784,1142,36,0.246571854,412,2290
4.d,H-FIFO,manhattan,2,244,8.70E-05,235,31,0.021219917,63,501
4.e,H-FIFO,manhattan,2,4019,0.000656716,4018,34,2.639339961,1742,8060
4.a,H-G,manhattan,0,21942,0.00302333,22126,41,66.33791474,9750,42643
4.b,H-G,manhattan,0,53355,0.006181237,53598,44,329.7999136,22509,103036
4.c,H-G,manhattan,0,1158,0.000177176,1154,36,0.205169462,414,2314
4.d,H-G,manhattan,0,236,6.75E-05,222,31,0.015938722,59,484
4.e,H-G,manhattan,0,3980,0.000584296,3978,34,2.325496107,1709,7991
4.a,H-G,manhattan,1,21942,0.002988354,22126,41,65.570457,9750,42643
4.b,H-G,manhattan,1,53355,0.006115554,53598,44,326.2953735,22509,103036
4.c,H-G,manhattan,1,1158,0.000235019,1154,36,0.272152364,414,2314
4.d,H-G,manhattan,1,236,0.000121819,222,31,0.028749295,59,484
4.e,H-G,manhattan,1,3980,0.000612948,3978,34,2.439534694,1709,7991
4.a,H-G,manhattan,2,21942,0.002985366,22126,41,65.50489298,9750,42643
4.b,H-G,manhattan,2,53355,0.006105907,53598,44,325.7806922,22509,103036
4.c,H-G,manhattan,2,1158,0.000176215,1154,36,0.204056807,414,2314
4.d,H-G,manhattan,2,236,6.71E-05,222,31,0.015842654,59,484
4.e,H-G,manhattan,2,3980,0.000584899,3978,34,2.327898458,1709,7991
4.a,G-H,manhattan,0,79113,0.009892095,79101,41,782.5933091,78984,150892
4.b,G-H,manhattan,0,235526,0.040846346,235511,44,9620.376485,235358,447197
